26338,26425,26548,26617,26618,26689,26748,26825,26825,26921,26921,26997,26998,27083,27105,27177,27232,27304,27401,27457,27490,27537,27585,27657
29369,29450,29578,29641,29665,29729,29817,29885,29915,29979,30017,30083,30084,30182,30183,30258,30338,30392,30506,30560,30611,30674,30690,30761
31873,31964,32081,32165,32166,32232,32289,32363,32380,32457,32481,32547,32595,32665,32690,32763,32827,32905,33025,33067,33120,33178,33217,33296
35873,35950,36088,36170,36225,36289,36411,36482,36546,36609,36920,36978,37025,37104,37290,37400,37625,37731,37897,37965,38035,38088,38131,38201
39074,39185,39322,39385,39413,39482,39538,39616,39658,39721,39873,39921,39985,40065,40147,40214,40276,40361,40457,40523,40582,40633,40657,40728
81737,81826,81985,82056,82130,82192,82250,82337,82417,82530,82530,82610,82657,82737,82740,82811,82877,82953,83066,83115,83141,83192,83236,83308
84232,84329,84450,84524,84546,84617,84658,84747,84786,84875,84875,84947,84986,85082,85082,85169,85185,85265,85369,85416,85476,85521,85554,85627
86297,86377,86497,86561,86593,86665,86698,86769,86818,86898,86926,86985,87030,87115,87145,87227,87282,87360,87475,87522,87570,87627,87660,87736
88497,88568,88672,88737,88753,88825,88858,88929,88954,89045,89047,89092,89123,89200,89228,89307,89326,89401,89513,89561,89585,89641,89691,89777
90544,90617,90730,90796,90798,90860,90913,90977,91018,91092,91113,91185,91201,91293,91295,91368,91401,91481,91586,91641,91681,91731,91777,91873
128720,128805,128938,128993,129026,129097,129137,129209,129257,129361,129361,129408,129430,129490,129460,129544,129625,129705,129819,129875,129913,129969,130002,130072
130832,130897,131010,131072,131089,131155,131188,131264,131305,131400,131392,131465,131465,131523,131493,131569,131650,131726,131829,131864,131909,131971,132009,132072
132713,132785,132888,132970,132974,133041,133073,133137,133171,133258,133258,133316,133318,133377,133345,133432,133508,133571,133684,133722,133754,133809,133841,133928
134593,134672,134789,134842,134858,134928,134954,135025,135066,135154,135154,135209,135211,135280,135265,135336,135394,135464,135577,135621,135673,135729,135757,135833
